"","ExperimentName","Subject","Age","Group","Gender","SubTrial","StimulDS1.CRESP","StimulDS1.RESP","StimulDS1.RT","File","accuracy","correct_RT_2.5sd"
"1","dsc","10",26,1,"female",1,"m","m",1837,"right000",1,1837
"2","dsc","10",26,1,"female",2,"z","z",1175,"wrong000",1,1175
"3","dsc","10",26,1,"female",3,"z","z",1308,"wrong000",1,1308
"4","dsc","10",26,1,"female",4,"m","m",1051,"right000",1,1051
"5","dsc","10",26,1,"female",5,"m","z",956,"right000",0,956
"6","dsc","10",26,1,"female",6,"z","z",1689,"wrong000",1,1689
"7","dsc","10",26,1,"female",7,"m","m",993,"right000",1,993
"8","dsc","10",26,1,"female",8,"m","m",901,"right000",1,901
"9","dsc","10",26,1,"female",9,"m","m",1340,"right000",1,1340
"10","dsc","10",26,1,"female",10,"m","m",1186,"right000",1,1186
"11","dsc","10",26,1,"female",11,"z","z",1062,"wrong000",1,1062
"12","dsc","10",26,1,"female",12,"m","m",1007,"right000",1,1007
"13","dsc","10",26,1,"female",13,"z","z",1394,"wrong000",1,1394
"14","dsc","10",26,1,"female",14,"z","z",1270,"wrong000",1,1270
"15","dsc","10",26,1,"female",15,"z","z",1143,"wrong000",1,1143
"16","dsc","10",26,1,"female",16,"z","z",1013,"wrong000",1,1013
"17","dsc","10",26,1,"female",17,"z","z",976,"wrong000",1,976
"18","dsc","10",26,1,"female",18,"z","z",844,"wrong000",1,844
"19","dsc","10",26,1,"female",19,"m","m",1302,"right000",1,1302
"20","dsc","10",26,1,"female",20,"z","z",973,"wrong000",1,973
"21","dsc","10",26,1,"female",21,"z","z",970,"wrong000",1,970
"22","dsc","10",26,1,"female",22,"m","m",846,"right000",1,846
"23","dsc","10",26,1,"female",23,"m","m",952,"right000",1,952
"24","dsc","10",26,1,"female",24,"m","m",933,"right000",1,933
"25","dsc","10",26,1,"female",25,"z","z",794,"wrong000",1,794
"26","dsc","10",26,1,"female",26,"z","z",1142,"wrong000",1,1142
"27","dsc","10",26,1,"female",27,"z","z",1035,"wrong000",1,1035
"28","dsc","10",26,1,"female",28,"m","m",1285,"right000",1,1285
"29","dsc","10",26,1,"female",29,"m","z",925,"wrong000",0,925
"30","dsc","10",26,1,"female",30,"z","z",956,"wrong000",1,956
"31","dsc","10",26,1,"female",31,"m","m",1009,"right000",1,1009
"32","dsc","10",26,1,"female",32,"m","m",948,"right000",1,948
"33","dsc","10",26,1,"female",33,"m","m",897,"right000",1,897
"34","dsc","10",26,1,"female",34,"z","z",832,"wrong000",1,832
"35","dsc","10",26,1,"female",35,"z","z",770,"wrong000",1,770
"36","dsc","10",26,1,"female",36,"z","z",894,"wrong000",1,894
"37","dsc","10",26,1,"female",37,"m","z",910,"right000",0,910
"38","dsc","10",26,1,"female",38,"z","z",917,"wrong000",1,917
"39","dsc","10",26,1,"female",39,"m","m",1035,"right000",1,1035
"40","dsc","10",26,1,"female",40,"m","m",941,"right000",1,941
"41","dsc","10",26,1,"female",41,"z","z",1187,"wrong000",1,1187
"42","dsc","10",26,1,"female",42,"z","m",911,"wrong000",0,911
